total_product_price_usd,total_product_item,order_id,product_id
,2,1,16
,2,1,7
,2,2,20
,3,2,6
,1,2,4
,1,2,1
,3,3,20
,3,3,5
,2,3,13
,1,3,7
,1,3,17
,2,4,8
,3,5,12
,2,6,19
,2,6,9
,1,6,2
,1,6,15
,3,7,2
,2,7,3
,1,8,19
,1,8,15
,1,8,1
,1,8,9
,3,9,1
,2,9,1
,1,9,9
,3,9,1
,3,9,9
,3,10,9
,3,10,4
,2,10,1
,2,11,3
,2,11,20
,1,12,2
,1,13,8
,2,14,17
,3,14,12
,1,14,20
,3,15,10
,2,16,18
,2,16,1
,2,17,20
,2,17,2
,2,18,8
,2,18,9
,3,19,4
,3,19,16
,1,19,20
,2,19,11
,3,20,5
,2,20,17
,3,20,11
,2,20,10
,2,21,18
,3,21,9
,1,21,17
,1,22,18
,2,22,6
,2,23,4
,3,23,1
,1,23,19
,1,23,4
,1,24,1
,1,24,19
,2,25,2
,1,25,14
,1,25,4
,3,25,4
,2,26,9
,2,26,7
,1,27,13
,2,27,11
,1,27,9
,3,27,12
,2,27,5
,2,28,20
,1,28,14
,2,28,12
,2,28,10
,3,28,3
,1,29,6
,3,29,20
,2,29,10
,2,29,7
,1,30,12
,2,30,1
,1,30,19
,3,30,15
,2,30,17
,3,31,3
,1,31,5
,2,31,9
,3,31,9
,2,32,7
,3,32,20
,3,32,3
,1,33,9
,2,33,9
,2,33,14
,3,33,20
,1,34,10
,2,35,1
,2,36,3
,3,36,12
,2,37,7
,2,37,17
,2,37,8
,1,38,16
,2,38,12
,3,38,1
,3,38,9
,3,38,18
,1,39,3
,3,40,1
,2,40,15
,2,40,19
,1,40,14
,2,41,20
,1,42,7
,2,43,19
,1,43,15
,3,43,14
,3,43,20
,1,43,15
,3,44,2
,2,44,3
,1,44,9
,3,44,19
,2,45,16
,2,45,14
,3,45,14
,2,45,7
,3,45,4
,1,46,11
,3,46,18
,1,47,15
,3,47,13
,2,48,13
,3,48,9
,2,49,12
,1,49,4
,2,50,7
,3,50,3
,3,50,2
,2,50,8
,2,50,12
,2,51,19
,3,51,10
,2,51,14
,1,51,3
,3,51,9
,1,52,6
,3,52,9
,1,53,18
,2,53,15
,1,54,4
,3,54,20
,1,54,4
,3,55,19
,3,55,18
,1,55,6
,1,55,2
,1,56,9
,2,57,11
,3,57,14
,1,57,9
,2,57,10
,3,58,8
,1,58,5
,2,59,8
,1,59,13
,2,60,1
,1,60,17
,2,60,14
,2,60,13
,2,60,4
,3,61,16
,3,61,13
,3,61,17
,1,61,6
,3,62,14
,2,62,9
,1,63,2
,2,63,10
,2,63,16
,1,63,3
,3,64,18
,1,64,3
,2,64,14
,1,65,11
,1,65,6
,3,65,8
,3,65,19
,2,65,10
,1,66,20
,1,66,20
,2,67,13
,2,67,16
,2,67,6
,2,67,1
,1,67,11
,1,68,11
,1,69,20
,1,69,5
,3,69,9
,1,70,7
,1,70,18
,3,70,1
,3,70,2
,2,70,13
,3,71,5
,2,72,8
,3,73,5
,1,73,19
,3,73,16
,3,73,5
,2,73,1
,2,74,18
,3,74,14
,3,74,1
,1,75,7
,3,75,3
,1,75,2
,3,75,7
,1,75,20
,2,76,1
,3,76,20
,1,76,12
,1,77,9
,3,77,7
,1,77,11
,1,77,6
,1,77,7
,1,78,20
,1,79,13
,1,80,1
,2,80,16
,1,80,4
,1,80,6
,2,80,3
,2,81,4
,1,81,12
,1,81,7
,1,81,3
,1,82,6
,3,83,4
,3,83,16
,2,83,11
,1,83,19
,1,83,19
,3,84,16
,1,84,1
,3,84,4
,3,84,5
,2,84,17
,1,85,20
,1,85,14
,1,86,2
,2,86,16
,2,86,14
,2,86,1
,1,86,10
,1,87,5
,1,87,11
,1,88,3
,2,88,10
,3,88,17
,3,88,5
,3,89,12
,1,89,20
,3,90,13
,1,90,3
,2,90,10
,2,91,8
,3,91,1
,1,91,8
,1,92,7
,3,92,8
,2,92,14
,1,92,16
,1,93,3
,3,94,18
,3,94,14
,1,94,2
,2,95,3
,3,96,5
,3,97,2
,2,98,17
,1,99,6
,2,99,19
,1,99,20
,3,99,7
,3,100,1
,2,100,19
,1,100,7
,1,101,15
,3,101,17
,3,101,11
,3,101,3
,3,101,5
,2,102,11
,1,103,10
,3,103,5
,3,103,2
,1,104,9
,3,105,8
,2,105,5
,3,106,8
,2,106,19
,2,106,17
,1,106,17
,3,107,14
,2,107,10
,1,107,3
,3,108,6
,3,108,20
,2,108,8
,2,109,1
,3,110,9
,3,110,4
,1,110,10
,1,110,2
,1,110,19
,1,111,9
,1,111,6
,2,112,13
,2,112,8
,2,112,14
,1,113,14
,3,113,5
,2,114,16
,3,114,3
,3,114,10
,1,114,5
,2,114,10
,1,115,2
,2,115,19
,1,115,3
,3,115,10
,1,115,15
,2,116,1
,3,116,14
,2,117,2
,3,118,9
,3,118,17
,3,119,12
,2,119,1
,1,119,16
,1,119,8
,2,120,14
,2,120,1
,3,120,11
,1,120,16
,1,120,14
,2,121,11
,3,122,7
,1,122,12
,1,123,5
,3,123,16
,2,123,6
,2,123,10
,3,123,16
,3,124,1
,2,125,13
,1,125,20
,1,125,18
,1,125,4
,2,126,20
,2,127,20
,2,128,2
,1,128,11
,1,128,5
,1,128,11
,1,129,12
,2,130,10
,2,130,6
,2,131,15
,3,131,15
,3,131,15
,3,131,20
,3,131,8
,3,132,10
,3,132,1
,2,133,20
,3,133,11
,2,133,3
,2,133,12
,1,133,1
,1,134,20
,2,134,19
,3,134,15
,2,135,17
,2,136,10
,2,137,12
,3,137,6
,1,137,3
,3,137,12
,1,137,3
,1,138,15
,3,138,14
,2,139,5
,3,140,7
,1,140,18
,1,140,5
,1,140,12
,1,140,18
,1,141,2
,1,142,2
,2,142,9
,1,143,9
,1,143,7
,2,144,17
,3,144,11
,2,144,18
,2,144,16
,2,144,2
,3,145,20
,2,145,12
,2,145,19
,2,146,17
,1,146,14
,3,146,17
,3,146,9
,3,146,3
,3,147,18
,2,147,1
,2,147,10
,3,148,15
,1,148,5
,2,148,1
,3,149,12
,1,149,7
,3,149,16
,3,149,19
,1,150,15
,1,150,8
,1,150,19
,1,150,9
,1,150,8
,2,151,2
,1,151,11
,3,151,13
,1,151,3
,2,152,20
,1,152,5
,3,152,17
,3,152,14
,3,152,10
,1,153,17
,1,153,5
,3,154,13
,3,154,15
,1,154,5
,3,154,7
,3,154,5
,3,155,9
,3,155,6
,1,155,5
,1,155,17
,2,155,20
,1,156,6
,3,156,8
,1,156,7
,2,156,3
,2,156,9
,3,157,14
,1,157,20
,2,157,12
,2,158,18
,2,158,6
,2,158,15
,2,158,3
,1,159,3
,1,159,6
,3,159,3
,3,160,20
,3,160,4
,3,160,11
,3,161,14
,3,162,7
,3,162,17
,1,162,14
,3,162,2
,2,163,7
,2,163,8
,1,163,7
,1,163,15
,1,164,5
,1,164,1
,2,164,6
,3,165,9
,2,166,14
,3,166,20
,3,166,16
,3,166,9
,2,166,6
,3,167,17
,2,167,3
,2,167,9
,2,168,8
,2,168,9
,1,168,13
,3,169,19
,2,169,7
,1,169,6
,2,169,3
,3,170,8
,1,170,4
,1,170,14
,3,170,4
,3,170,14
,1,171,10
,1,171,1
,1,171,8
,3,171,9
,3,172,6
,1,172,6
,2,172,6
,3,173,16
,1,173,5
,1,173,6
,2,173,20
,1,174,16
