date,total_amount_usd,total_amount_ars,customer_id,seller_id,shipping_id,er_date
2023-01-01,3396.00,0.00,454,3,1,2023-01-01
2023-01-01,5193.00,0.00,1621,1,2,2023-01-01
2023-01-01,4890.00,0.00,1073,3,3,2023-01-01
2023-01-02,2198.00,0.00,1541,3,4,2023-01-02
2023-01-02,7497.00,0.00,1291,1,5,2023-01-02
2023-01-02,5394.00,0.00,1822,1,6,2023-01-02
2023-01-02,5195.00,0.00,1380,1,7,2023-01-02
2023-01-02,3396.00,0.00,2149,2,8,2023-01-02
2023-01-02,13588.00,0.00,1677,2,9,2023-01-02
2023-01-02,10192.00,0.00,1397,2,10,2023-01-02
2023-01-02,2896.00,0.00,474,1,11,2023-01-02
2023-01-02,999.00,0.00,463,3,12,2023-01-02
2023-01-02,1099.00,0.00,634,1,13,2023-01-02
2023-01-02,8344.00,0.00,585,2,14,2023-01-02
2023-01-02,5397.00,0.00,2128,2,15,2023-01-02
2023-01-03,2196.00,0.00,1425,1,16,2023-01-03
2023-01-03,2696.00,0.00,1406,1,17,2023-01-03
2023-01-03,5396.00,0.00,1031,3,18,2023-01-03
2023-01-03,10341.00,0.00,1975,1,19,2023-01-03
2023-01-03,12190.00,0.00,1318,1,20,2023-01-03
2023-01-03,5444.00,0.00,887,1,21,2023-01-03
2023-01-03,1797.00,0.00,2433,3,22,2023-01-03
2023-01-03,6593.00,0.00,949,3,23,2023-01-03
2023-01-04,1198.00,0.00,411,3,24,2023-01-04
2023-01-04,7193.00,0.00,2047,1,25,2023-01-04
2023-01-05,4996.00,0.00,1401,1,26,2023-01-05
2023-01-05,14791.00,0.00,1584,3,27,2023-01-05
2023-01-05,12990.00,0.00,889,1,28,2023-01-05
2023-01-05,7242.00,0.00,2128,2,29,2023-01-05
2023-01-05,6891.00,0.00,889,1,30,2023-01-05
2023-01-05,11991.00,0.00,2085,1,31,2023-01-05
2023-01-05,6142.00,0.00,1614,2,32,2023-01-05
2023-01-05,6642.00,0.00,554,3,33,2023-01-05
2023-01-05,1799.00,0.00,1267,3,34,2023-01-05
2023-01-05,1798.00,0.00,2195,2,35,2023-01-05
2023-01-05,9695.00,0.00,1214,2,36,2023-01-05
2023-01-05,4494.00,0.00,102,1,37,2023-01-05
2023-01-05,13888.00,0.00,2300,3,38,2023-01-05
2023-01-06,1099.00,0.00,840,1,39,2023-01-06
2023-01-06,4892.00,0.00,1425,3,40,2023-01-06
2023-01-06,698.00,0.00,504,3,41,2023-01-06
2023-01-06,899.00,0.00,2488,1,42,2023-01-06
2023-01-06,4040.00,0.00,1,1,43,2023-01-06
2023-01-06,7691.00,0.00,1452,2,44,2023-01-06
2023-01-07,8988.00,0.00,2224,1,45,2023-01-07
2023-01-07,2596.00,0.00,1655,1,46,2023-01-07
2023-01-07,1496.00,0.00,772,2,47,2023-01-07
2023-01-07,5395.00,0.00,1570,3,48,2023-01-07
2023-01-07,6197.00,0.00,562,3,49,2023-01-07
2023-01-07,15288.00,0.00,627,1,50,2023-01-07
2023-01-07,12689.00,0.00,1965,1,51,2023-01-07
2023-01-08,5596.00,0.00,1472,2,52,2023-01-08
2023-01-08,1397.00,0.00,2389,2,53,2023-01-08
2023-01-08,3445.00,0.00,940,2,54,2023-01-08
2023-01-08,3292.00,0.00,774,3,55,2023-01-08
2023-01-08,1599.00,0.00,372,2,56,2023-01-08
2023-01-08,10392.00,0.00,1805,3,57,2023-01-08
2023-01-08,3996.00,0.00,1082,1,58,2023-01-08
2023-01-08,2497.00,0.00,79,3,59,2023-01-08
2023-01-08,5841.00,0.00,1830,2,60,2023-01-08
2023-01-08,4840.00,0.00,1335,1,61,2023-01-08
2023-01-08,4395.00,0.00,1810,2,62,2023-01-08
2023-01-08,7294.00,0.00,2377,2,63,2023-01-08
2023-01-09,2494.00,0.00,2315,2,64,2023-01-09
2023-01-09,10590.00,0.00,2154,3,65,2023-01-09
2023-01-09,698.00,0.00,35,2,66,2023-01-09
2023-01-09,7591.00,0.00,385,2,67,2023-01-09
2023-01-09,1999.00,0.00,789,1,68,2023-01-09
2023-01-09,5845.00,0.00,2344,3,69,2023-01-09
2023-01-09,7390.00,0.00,1910,3,70,2023-01-09
2023-01-09,2097.00,0.00,1854,2,71,2023-01-09
2023-01-09,2198.00,0.00,894,2,72,2023-01-09
2023-01-10,8688.00,0.00,1636,2,73,2023-01-10
2023-01-10,4292.00,0.00,986,2,74,2023-01-10
2023-01-10,8241.00,0.00,1156,3,75,2023-01-10
2023-01-10,5344.00,0.00,1456,1,76,2023-01-10
2023-01-10,7993.00,0.00,884,2,77,2023-01-10
2023-01-10,349.00,0.00,1334,1,78,2023-01-10
2023-01-10,299.00,0.00,23,2,79,2023-01-10
2023-01-10,6693.00,0.00,1109,2,80,2023-01-10
2023-01-10,6895.00,0.00,130,3,81,2023-01-10
2023-01-10,799.00,0.00,249,1,82,2023-01-10
2023-01-11,10590.00,0.00,324,1,83,2023-01-11
2023-01-11,9488.00,0.00,178,1,84,2023-01-11
2023-01-11,748.00,0.00,2272,2,85,2023-01-11
2023-01-11,6992.00,0.00,932,1,86,2023-01-11
2023-01-11,2698.00,0.00,1133,2,87,2023-01-11
2023-01-11,7541.00,0.00,658,2,88,2023-01-11
2023-01-11,7846.00,0.00,432,1,89,2023-01-11
2023-01-11,5594.00,0.00,2065,1,90,2023-01-11
2023-01-12,5994.00,0.00,926,3,91,2023-01-12
2023-01-12,5793.00,0.00,764,3,92,2023-01-12
2023-01-12,1099.00,0.00,695,1,93,2023-01-12
2023-01-12,2793.00,0.00,1566,3,94,2023-01-12
2023-01-12,2198.00,0.00,1783,3,95,2023-01-12
2023-01-12,2097.00,0.00,1975,3,96,2023-01-12
2023-01-13,2997.00,0.00,712,2,97,2023-01-13
2023-01-13,498.00,0.00,50,2,98,2023-01-13
2023-01-13,4443.00,0.00,332,3,99,2023-01-13
2023-01-13,4194.00,0.00,1789,1,100,2023-01-13
2023-01-13,12737.00,0.00,2078,3,101,2023-01-13
2023-01-13,3998.00,0.00,569,2,102,2023-01-13
2023-01-13,6893.00,0.00,147,1,103,2023-01-13
2023-01-13,1599.00,0.00,1133,2,104,2023-01-13
2023-01-14,4695.00,0.00,2403,1,105,2023-01-14
2023-01-14,4642.00,0.00,1026,2,106,2023-01-14
2023-01-14,5894.00,0.00,813,2,107,2023-01-14
2023-01-14,5642.00,0.00,971,2,108,2023-01-14
2023-01-14,1798.00,0.00,2313,3,109,2023-01-14
2023-01-14,11491.00,0.00,1764,2,110,2023-01-14
2023-01-14,2398.00,0.00,988,3,111,2023-01-14
2023-01-14,3594.00,0.00,185,3,112,2023-01-14
2023-01-14,2496.00,0.00,2241,1,113,2023-01-14
2023-01-14,14589.00,0.00,2492,1,114,2023-01-14
2023-01-14,8692.00,0.00,1208,2,115,2023-01-14
2023-01-14,2995.00,0.00,2004,3,116,2023-01-14
2023-01-15,1998.00,0.00,2458,1,117,2023-01-15
2023-01-15,5544.00,0.00,1003,2,118,2023-01-15
2023-01-15,11193.00,0.00,727,2,119,2023-01-15
2023-01-15,9791.00,0.00,2286,1,120,2023-01-15
2023-01-15,3998.00,0.00,571,1,121,2023-01-15
2023-01-15,5196.00,0.00,402,3,122,2023-01-15
2023-01-15,10689.00,0.00,329,3,123,2023-01-15
2023-01-15,2697.00,0.00,938,3,124,2023-01-15
2023-01-16,2345.00,0.00,41,2,125,2023-01-16
2023-01-16,698.00,0.00,2102,3,126,2023-01-16
2023-01-16,698.00,0.00,205,3,127,2023-01-16
